Time,VDD_CPU_GPU_CV,VDD_SOC
2.2527999590238323e-05,1.628,1.426
0.9955049279997183,1.059,1.388
1.9935967679998612,0.937,1.388
2.9956367359995966,0.896,1.388
3.995677599999908,0.896,1.388
4.995610879999731,0.896,1.388
5.998470239999733,0.896,1.388
6.998494655999821,0.896,1.388
8.001621599999908,0.896,1.388
9.001157855999736,0.896,1.388
10.008062495999638,1.1,1.388
11.029951135999909,2.316,1.424
12.015553247999833,2.718,1.544
13.01075535999962,1.709,1.426
14.017767967999589,2.722,1.424
15.012445183999716,2.479,1.465
16.017897439999615,2.682,1.424
17.020343519999642,3.083,1.463
18.020511167999757,3.124,1.503
19.026732831999652,3.043,1.463
20.06847887999993,3.043,1.544
21.09008723199986,3.164,1.503
22.014306271999885,1.628,1.426
23.01814902399974,1.587,1.426
24.02005680000002,1.872,1.426
25.02144131199975,1.913,1.424
26.022733311999673,1.91,1.424
27.022381664000022,1.872,1.424
28.023019135999675,1.913,1.424
29.026720223999746,1.913,1.424
30.02686473599988,1.913,1.424
31.028069759999653,1.913,1.424
32.02794627200001,1.872,1.424
33.02905913599989,1.913,1.424
34.03030070399973,1.913,1.424
35.02982553599986,1.913,1.424
36.0300267839998,1.913,1.424
37.03316332799977,1.913,1.424
38.03276473599999,1.913,1.424
39.034744767999655,1.913,1.424
40.03653715199971,1.913,1.424
41.03773446399964,1.913,1.424
42.037650175999715,1.872,1.424
43.03950150399987,1.872,1.424
44.039540767999824,1.913,1.424
45.04138767999984,1.913,1.424
46.04042841599994,1.872,1.424
47.043291359999785,1.913,1.424
48.04412201599962,1.872,1.424
49.0458748799997,1.872,1.424
50.04461017599988,1.872,1.424
51.0448938239997,1.913,1.424
52.047229695999704,1.913,1.424
53.04906492800001,1.872,1.424
54.049283871999705,1.91,1.424
55.05046431999972,1.91,1.424
56.05148969599986,1.91,1.424
57.05228803199998,1.91,1.424
58.052836255999864,1.913,1.424
59.05372492799961,1.872,1.424
60.055733535999934,1.872,1.424
61.0562004479998,1.872,1.424
62.057757407999816,1.913,1.424
63.057665343999815,1.91,1.424
64.05930079999962,1.913,1.424
65.05961062400002,1.872,1.424
66.06183107199968,1.913,1.424
67.06224415999986,1.913,1.424
68.06353087999969,1.913,1.424
69.063404128,1.913,1.424
70.06457955199994,1.872,1.424
71.06492092799999,1.872,1.424
72.06803827199974,1.872,1.424
73.06805878399973,1.913,1.424
74.06864556799974,1.913,1.424
75.06978031999961,1.991,1.424
76.07106079999994,1.913,1.424
77.07197811199967,1.913,1.424
78.07400579199975,1.913,1.424
79.0742883199996,1.913,1.424
80.07592355199995,1.913,1.424
81.0759000639996,1.91,1.424
82.07754540799988,1.913,1.424
83.0777234559996,1.913,1.424
84.07964758399976,1.913,1.424
85.0806707519996,1.872,1.424
86.08197407999978,1.913,1.424
87.08252380799968,1.913,1.424
88.08368972799963,1.91,1.424
89.08430454399968,1.913,1.424
90.08565187199974,1.872,1.424
91.08583753599987,1.872,1.424
92.08751679999978,1.872,1.424
93.08688527999993,1.913,1.424
94.08836639999981,1.95,1.424
95.09053395199999,1.913,1.424
96.09180422399959,1.913,1.424
97.09148252799969,1.913,1.424
98.09225212799993,1.913,1.424
99.09349039999961,1.872,1.424
100.09570374399982,1.913,1.424
101.09603539199998,1.913,1.424
102.09610972799965,1.913,1.424
103.0965885759997,1.872,1.424
104.09805414399989,1.913,1.424
105.0997625279997,1.913,1.424
106.10173571199994,1.913,1.424
107.1028829439997,1.872,1.424
108.10297254399984,1.872,1.424
109.10422988799974,1.872,1.424
110.10467244799975,1.913,1.424
111.10604777599974,1.872,1.424
112.10776367999961,1.913,1.424
113.1078361599998,1.913,1.424
114.11093196799993,1.913,1.424
115.11030095999968,1.913,1.424
116.11287027199978,1.913,1.424
117.11280390399997,1.872,1.424
118.11098444799973,1.182,1.386
119.10921958399967,0.937,1.388
120.11100963199988,0.896,1.388
121.11117580799964,0.896,1.388
122.1111268159998,0.896,1.388
123.11307580799985,0.896,1.388
124.11326009599998,0.896,1.388
125.11473017599974,0.896,1.388
126.11550473599982,0.896,1.388
127.11719465599981,0.896,1.388
128.11955142399984,0.896,1.388
